counter,brick_name,x,y
1,brick_97,8.0,8.0
2,brick_94,-4.702951999864354,8.0
3,brick_93,2.590651239318845,8.0
4,brick_83,-0.1586988188045666,8.0
5,brick_65,8.0,-8.0
6,brick_10,8.0,-8.0
7,brick_21,-8.0,-8.0
8,brick_7,-0.36168335395131646,-11.307925766977537
9,brick_8,-0.36168335395131646,-11.30792576697754
10,brick_18,8.634861839078578,-7.310209369096384
11,brick_76,7.929171900316437,-8.070206501399591
12,brick_9,-7.929171900316437,-8.070206501399591
13,brick_6,7.9291719003164385,8.070206501399591
14,brick_29,7.9291719003164385,-8.070206501399591
15,brick_32,7.9291719003164385,-8.070206501399591
16,brick_43,-7.9291719003164385,-8.070206501399591
17,brick_20,7.9291719003164385,-8.070206501399591
18,brick_54,-7.9291719003164385,-8.070206501399595
19,brick_31,7.9291719003164385,-8.070206501399595
20,brick_42,11.30037374812459,-0.5491385550994341
21,brick_19,11.300373748124594,-0.5491385550994341
22,brick_17,-7.143285846826267,-8.773452416838637
23,brick_5,-7.143285846826267,-8.773452416838637
24,brick_3,-7.143285846826267,-8.773452416838637
25,brick_2,-7.143285846826267,-8.773452416838637
26,brick_0,-7.143285846826267,-8.773452416838637
27,brick_55,-7.143285846826266,8.773452416838637
28,brick_96,8.0,8.0
29,brick_82,-8.0,8.0
30,brick_71,8.770254399723418,7.147211887451778
31,brick_85,-5.520395337181961,7.147211887451778
32,brick_95,5.00159073802458,7.147211887451778
33,brick_72,-8.0,7.1472118874517765
34,brick_91,8.0,7.1472118874517765
35,brick_80,-8.0,7.1472118874517765
36,brick_92,5.876847709509477,7.1472118874517765
37,brick_90,5.72510204915268,9.07225684661318
38,brick_81,-2.02868820938828,8.0
39,brick_86,-2.962389264700148,10.918985751634136
40,brick_89,8.0,-8.0
41,brick_79,8.0,7.999999999999998
42,brick_78,8.0,-7.999999999999998
43,brick_68,8.0,7.9999999999999964
44,brick_98,-8.0,7.9999999999999964
45,brick_84,2.0164535001676427,7.9999999999999964
46,brick_69,-6.781461205745188,7.9999999999999964
47,brick_57,4.435736530903391,7.9999999999999964
48,brick_87,8.0,7.9999999999999964
49,brick_64,11.287934596118625,-0.7632382024952395
50,brick_53,-11.287934596118625,0.7632382024952393
51,brick_63,11.287934596118628,0.7632382024952393
52,brick_75,11.287934596118628,-0.7632382024952391
53,brick_41,-2.6420905652444553,11.000879848677842
54,brick_74,8.771672651209917,7.145471216093169
55,brick_88,8.0,-7.145471216093169
56,brick_67,8.0,7.145471216093169
57,brick_52,10.242271193556359,3.186477631752897
58,brick_60,-8.0,3.186477631752898
